image_id,gt_verb,gt_object,gt_verb_synset,gt_object_synset,pred_verb_synset,pred_object_synset,category,similarity_level,bin
21295,adjust,skis,adjust.v.01,ski.n.01,standardize.v.01,ski.n.01,2,3,"(2, 3)"
26288,walk,horse,walk.v.09,horse.n.01,promenade.v.02,horse.n.01,2,3,"(2, 3)"
5909,drag,surfboard,drag.v.01,surfboard.n.01,lug.v.01,surfboard.n.01,2,3,"(2, 3)"
6494,sit_on,bed,sit.v.01,bed.n.01,lounge.v.01,bed.n.01,2,3,"(2, 3)"
37447,block,frisbee,obstruct.v.02,frisbee.n.01,stuff.v.03,frisbee.n.01,2,3,"(2, 3)"
30669,jump,motorcycle,jump.v.01,motorcycle.n.01,hop.v.05,motorcycle.n.01,2,3,"(2, 3)"
24935,jump,snowboard,jump.v.01,snowboard.n.01,vault.v.02,snowboard.n.01,2,3,"(2, 3)"
10159,hold,skateboard,hold.v.02,skateboard.n.01,take.v.04,skateboard.n.01,2,3,"(2, 3)"
29177,inspect,truck,inspect.v.01,truck.n.01,review.v.01,truck.n.01,2,3,"(2, 3)"
32007,jump,skateboard,jump.v.01,skateboard.n.01,hop.v.05,skateboard.n.01,2,3,"(2, 3)"
12147,carry,skateboard,transport.v.02,skateboard.n.01,cart.v.02,skateboard.n.01,2,3,"(2, 3)"
30915,drive,boat,drive.v.01,boat.n.01,drive_around.v.01,boat.n.01,2,3,"(2, 3)"
14916,flip,skateboard,flip.v.04,skateboard.n.01,flip.v.08,skateboard.n.01,2,3,"(2, 3)"
36693,walk,dog,walk.v.09,dog.n.01,promenade.v.02,dog.n.01,2,3,"(2, 3)"
17244,clean,bed,clean.v.01,bed.n.01,dust.v.01,bed.n.01,2,3,"(2, 3)"
1931,hold,keyboard,hold.v.02,keyboard.n.01,cradle.v.01,keyboard.n.01,2,3,"(2, 3)"
15284,cut_with,knife,cut.v.01,knife.n.01,slice_into.v.01,knife.n.01,2,3,"(2, 3)"
16154,inspect,bicycle,inspect.v.01,bicycle.n.01,survey.v.02,bicycle.n.01,2,3,"(2, 3)"
10491,jump,skateboard,jump.v.01,skateboard.n.01,hop.v.02,skateboard.n.01,2,3,"(2, 3)"
16664,pick_up,cake,pick_up.v.02,cake.n.03,grab.v.03,cake.n.03,2,3,"(2, 3)"
26180,carry,baseball_bat,transport.v.02,baseball_bat.n.01,carry_over.v.02,baseball_bat.n.01,2,3,"(2, 3)"
23094,zip,suitcase,zip_up.v.01,bag.n.06,velcro.v.01,bag.n.06,2,3,"(2, 3)"
18583,carry,skis,transport.v.02,ski.n.01,porter.v.01,ski.n.01,2,3,"(2, 3)"
27267,inspect,truck,inspect.v.01,truck.n.01,peruse.v.01,truck.n.01,2,3,"(2, 3)"
17842,turn,motorcycle,turn.v.04,motorcycle.n.01,twist.v.03,motorcycle.n.01,2,3,"(2, 3)"
18653,milk,cow,milk.v.01,cow.n.01,strip.v.12,cow.n.01,2,3,"(2, 3)"
9459,direct,car,steer.v.01,car.n.01,pull.v.07,car.n.01,2,3,"(2, 3)"
4202,carry,umbrella,transport.v.02,umbrella.n.01,bear.v.04,umbrella.n.01,2,3,"(2, 3)"
36852,push,motorcycle,push.v.01,motorcycle.n.01,push_out.v.01,motorcycle.n.01,2,3,"(2, 3)"
35480,watch,elephant,watch.v.01,elephant.n.01,watch.v.03,elephant.n.01,2,3,"(2, 3)"
28661,load,surfboard,load.v.01,surfboard.n.01,stock.v.06,surfboard.n.01,2,3,"(2, 3)"
15860,hold,bicycle,hold.v.02,bicycle.n.01,handle.v.04,bicycle.n.01,2,3,"(2, 3)"
1910,park,bicycle,park.v.02,bicycle.n.01,double-park.v.01,bicycle.n.01,2,3,"(2, 3)"
32553,park,bicycle,park.v.02,bicycle.n.01,parallel-park.v.01,bicycle.n.01,2,3,"(2, 3)"
32181,eat,broccoli,eat.v.01,broccoli.n.02,devour.v.03,broccoli.n.02,2,3,"(2, 3)"
21057,sit_on,train,sit.v.01,train.n.01,lounge.v.01,train.n.01,2,3,"(2, 3)"
20988,race,motorcycle,race.v.04,motorcycle.n.01,hare.v.01,motorcycle.n.01,2,3,"(2, 3)"
12535,board,boat,board.v.01,boat.n.01,embark.v.01,boat.n.01,2,4,"(2, 4)"
31173,board,boat,board.v.01,boat.n.01,emplane.v.01,boat.n.01,2,4,"(2, 4)"
18022,board,bus,board.v.01,bus.n.01,embark.v.01,bus.n.01,2,4,"(2, 4)"
25481,tie,boat,tie.v.01,boat.n.01,cord.v.02,boat.n.01,2,4,"(2, 4)"
17514,inspect,skis,inspect.v.01,ski.n.01,examine.v.02,ski.n.01,2,4,"(2, 4)"
6181,inspect,boat,inspect.v.01,boat.n.01,examine.v.02,boat.n.01,2,4,"(2, 4)"
32624,tie,boat,tie.v.01,boat.n.01,bind.v.03,boat.n.01,2,4,"(2, 4)"
17391,inspect,boat,inspect.v.01,boat.n.01,peruse.v.01,boat.n.01,2,4,"(2, 3)"
36649,inspect,dog,inspect.v.01,dog.n.01,examine.v.02,dog.n.01,2,4,"(2, 4)"
26620,inspect,car,inspect.v.01,car.n.01,examine.v.02,car.n.01,2,4,"(2, 4)"
670,pull,tie,pull.v.01,necktie.n.01,pull.v.04,necktie.n.01,2,4,"(2, 4)"
25027,stick,knife,stick.v.13,knife.n.01,stick.v.12,knife.n.01,2,4,"(2, 4)"
9779,board,car,board.v.01,car.n.01,embark.v.01,car.n.01,2,4,"(2, 4)"
18558,inspect,banana,inspect.v.01,banana.n.02,examine.v.02,banana.n.02,2,4,"(2, 4)"
20867,dry,dog,dry.v.01,dog.n.01,exsiccate.v.01,dog.n.01,2,4,"(2, 4)"
31531,pick,banana,pick.v.01,banana.n.02,choose.v.01,banana.n.02,2,4,"(2, 4)"
27181,make,cake,make.v.15,cake.n.03,construct.v.01,cake.n.03,2,4,"(2, 4)"
6682,light,cake,ignite.v.01,cake.n.03,set_ablaze.v.01,cake.n.03,2,4,"(2, 4)"
22821,make,donut,make.v.15,doughnut.n.02,construct.v.01,doughnut.n.02,2,4,"(2, 4)"
16849,inspect,backpack,inspect.v.01,backpack.n.01,examine.v.02,backpack.n.01,2,4,"(2, 4)"
1494,buy,pizza,buy.v.01,pizza.n.01,get.v.22,pizza.n.01,2,4,"(2, 4)"
33552,race,motorcycle,race.v.04,motorcycle.n.01,rush.v.01,motorcycle.n.01,2,4,"(2, 4)"
11761,inspect,cup,inspect.v.01,cup.n.01,examine.v.02,cup.n.01,2,4,"(2, 4)"
37990,inspect,tie,inspect.v.01,necktie.n.01,examine.v.02,necktie.n.01,2,4,"(2, 4)"
29181,kick,sports_ball,kick.v.01,ball.n.01,boot.v.01,ball.n.01,2,4,"(2, 4)"
21921,sign,sports_ball,sign.v.01,ball.n.01,autograph.v.01,ball.n.01,2,4,"(2, 4)"
24524,inspect,bicycle,inspect.v.01,bicycle.n.01,examine.v.02,bicycle.n.01,2,4,"(2, 4)"
5899,stand_under,umbrella,stand.v.01,umbrella.n.01,step_on.v.01,parasol.n.01,3,1,"(3, 1)"
33881,wash,surfboard,wash.v.03,surfboard.n.01,transform.v.02,baffle.n.01,3,1,"(3, 1)"
16582,carry,cake,transport.v.02,cake.n.03,force.v.06,dog_biscuit.n.01,3,1,"(3, 1)"
16611,sit_on,couch,sit.v.01,sofa.n.01,set_down.v.04,buffet.n.01,3,1,"(3, 1)"
21868,push,bicycle,push.v.01,bicycle.n.01,slam-dunk.v.01,golfcart.n.01,3,1,"(3, 1)"
17224,hold,cup,hold.v.02,cup.n.01,retract.v.03,highball_glass.n.01,3,1,"(3, 1)"
14133,ride,bicycle,ride.v.01,bicycle.n.01,fly.v.04,wagon.n.01,3,1,"(3, 1)"
2970,hold,motorcycle,hold.v.02,motorcycle.n.01,feel.v.03,skateboard.n.01,3,1,"(3, 1)"
1176,wash,motorcycle,wash.v.03,motorcycle.n.01,dunk.v.03,bus.n.04,3,1,"(3, 1)"
27113,push,bicycle,push.v.01,bicycle.n.01,bushwhack.v.03,milk_float.n.01,3,1,"(3, 1)"
31640,stand_on,skis,stand.v.01,ski.n.01,poise.v.04,stringer.n.03,3,1,"(3, 1)"
15947,blow,cake,blow.v.01,cake.n.03,work.v.17,lemon_meringue_pie.n.01,3,1,"(3, 1)"
7979,wash,truck,wash.v.03,truck.n.01,houseclean.v.01,gypsy_cab.n.01,3,1,"(3, 1)"
36020,wash,airplane,wash.v.03,airplane.n.01,full.v.01,stealth_bomber.n.01,3,1,"(3, 1)"
21573,stand_on,skateboard,stand.v.01,skateboard.n.01,hunch.v.01,bicycle-built-for-two.n.01,3,1,"(3, 1)"
8792,ride,motorcycle,ride.v.01,motorcycle.n.01,haul.v.02,bus.n.04,3,1,"(3, 1)"
5040,wear,snowboard,wear.v.09,snowboard.n.01,hat.v.01,chopping_board.n.01,3,1,"(3, 1)"
36774,pet,horse,pet.v.01,horse.n.01,palpate.v.01,yearling.n.02,3,1,"(3, 1)"
31284,grind,snowboard,slide.v.03,snowboard.n.01,channel.v.02,diving_board.n.01,3,1,"(3, 1)"
17268,pack,suitcase,pack.v.01,bag.n.06,catch.v.25,compact.n.01,3,1,"(3, 1)"
37409,feed,elephant,feed.v.01,elephant.n.01,bring_on.v.03,sea_lion.n.01,3,1,"(3, 1)"
4793,wash,boat,wash.v.03,boat.n.01,bleach.v.01,guided_missile_frigate.n.01,3,1,"(3, 1)"
11535,break,baseball_bat,break.v.05,baseball_bat.n.01,uproot.v.02,cricket_bat.n.01,3,1,"(3, 1)"
14314,push,motorcycle,push.v.01,motorcycle.n.01,bundle_off.v.01,technical.n.01,3,1,"(3, 1)"
4912,carry,bicycle,transport.v.02,bicycle.n.01,carjack.v.01,coupe.n.01,3,1,"(3, 1)"
26686,pet,cow,pet.v.01,cow.n.01,mollify.v.03,hartebeest.n.01,3,1,"(3, 1)"
37174,carry,book,transport.v.02,book.n.01,draw_up.v.03,atlas.n.02,3,1,"(3, 1)"
36693,groom,dog,groom.v.03,dog.n.01,unbraid.v.01,boston_bull.n.01,3,1,"(3, 1)"
26099,lick,knife,lick.v.02,knife.n.01,sorb.v.01,scissors.n.01,3,1,"(3, 1)"
26466,drive,boat,drive.v.01,boat.n.01,garage.v.01,scow.n.02,3,1,"(3, 1)"
20946,hold,baseball_bat,hold.v.02,baseball_bat.n.01,cup.v.01,wedge.n.05,3,1,"(3, 1)"
30422,pour,bottle,decant.v.01,bottle.n.01,winnow.v.04,cup.n.01,3,1,"(3, 1)"
35509,greet,person,greet.v.01,person.n.01,marshal.v.04,tamil.n.01,3,1,"(3, 1)"
14245,launch,boat,launch.v.02,boat.n.01,hitch.v.05,sailing_warship.n.01,3,1,"(3, 1)"
7565,peel,banana,skin.v.04,banana.n.02,shave.v.05,litchi.n.02,3,1,"(3, 1)"
35622,ride,bus,ride.v.01,bus.n.01,joust.v.01,trailer.n.03,3,1,"(3, 1)"
26424,repair,boat,repair.v.01,boat.n.01,reactivate.v.01,motorboat.n.01,3,1,"(3, 1)"
36152,ride,boat,ride.v.01,boat.n.01,rock.v.02,flagship.n.02,3,1,"(3, 1)"
27001,row,boat,row.v.01,boat.n.01,embark.v.01,dreadnought.n.01,3,1,"(3, 1)"
12721,stand_on,chair,stand.v.01,chair.n.01,windsurf.v.01,hammock.n.02,3,1,"(3, 1)"
8295,drive,car,drive.v.01,car.n.01,move.v.07,streetcar.n.01,3,1,"(3, 1)"
34826,exit,airplane,exit.v.01,airplane.n.01,unhorse.v.01,glider.n.01,3,2,"(3, 2)"
28155,jump,car,jump.v.01,car.n.01,leapfrog.v.01,lorry.n.02,3,2,"(3, 2)"
3240,launch,kite,launch.v.02,kite.n.03,lunge.v.01,box_kite.n.01,3,2,"(3, 2)"
28641,sit_on,skateboard,sit.v.01,skateboard.n.01,flump.v.01,self-propelled_vehicle.n.01,3,2,"(3, 2)"
27322,catch,frisbee,catch.v.04,frisbee.n.01,wrest.v.01,discus.n.02,3,2,"(3, 2)"
15015,hold,backpack,hold.v.02,backpack.n.01,cradle.v.01,mailbag.n.01,3,2,"(3, 2)"
18656,carry,banana,transport.v.02,banana.n.02,tube.v.02,lanseh.n.01,3,2,"(3, 2)"
9834,ride,skis,ride.v.01,ski.n.01,aquaplane.v.02,water_ski.n.01,3,2,"(3, 2)"
9678,stand_on,skateboard,stand.v.01,skateboard.n.01,poise.v.04,handcar.n.01,3,2,"(3, 2)"
13851,stand_on,boat,stand.v.01,boat.n.01,line_up.v.03,skiff.n.01,3,2,"(3, 2)"
3687,tag,person,tag.v.02,person.n.01,dab.v.02,gandy_dancer.n.01,3,2,"(3, 2)"
25541,smell,pizza,smell.v.01,pizza.n.01,get_a_noseful.v.01,frittata.n.01,3,2,"(3, 2)"
30208,load,car,load.v.01,car.n.01,drop.v.08,technical.n.01,3,2,"(3, 2)"
35545,wash,bicycle,wash.v.03,bicycle.n.01,clean.v.02,tricycle.n.01,3,2,"(3, 2)"
11427,type_on,keyboard,type.v.01,keyboard.n.01,press_down.v.01,control_panel.n.01,3,2,"(3, 2)"
1964,walk,cow,walk.v.09,cow.n.01,gallop.v.03,waterbuck.n.01,3,2,"(3, 2)"
37845,hold,sports_ball,hold.v.02,ball.n.01,receive.v.01,cricket_ball.n.01,3,2,"(3, 2)"
32021,stand_on,snowboard,stand.v.01,snowboard.n.01,bounce.v.05,board.n.03,3,2,"(3, 2)"
1132,direct,bus,steer.v.01,bus.n.01,shepherd.v.02,welcome_wagon.n.01,3,2,"(3, 2)"
30091,carry,bicycle,transport.v.02,bicycle.n.01,backpack.v.01,unicycle.n.01,3,2,"(3, 2)"
31095,hold,surfboard,hold.v.02,surfboard.n.01,hold.v.10,springboard.n.01,3,2,"(3, 2)"
21355,sit_on,skateboard,sit.v.01,skateboard.n.01,perch.v.01,wake_board.n.01,3,2,"(3, 2)"
36190,sit_on,boat,sit.v.01,boat.n.01,model.v.03,sharpie.n.04,3,2,"(3, 2)"
6391,cut,banana,cut.v.01,banana.n.02,scallop.v.05,lanseh.n.01,3,2,"(3, 2)"
9468,walk,motorcycle,walk.v.09,motorcycle.n.01,canter.v.01,motor_vehicle.n.01,3,2,"(3, 2)"
33794,hold,book,hold.v.02,book.n.01,lay_hands_on.v.01,encyclopedia.n.01,3,2,"(3, 2)"
7207,hold,skateboard,hold.v.02,skateboard.n.01,clasp.v.01,wheeled_vehicle.n.01,3,2,"(3, 2)"
23620,jump,bicycle,jump.v.01,bicycle.n.01,hop.v.01,self-propelled_vehicle.n.01,3,2,"(3, 2)"
10413,hop_on,motorcycle,hop_on.v.01,motorcycle.n.01,jockey.v.03,bicycle.n.01,3,2,"(3, 2)"
17946,ride,bicycle,ride.v.01,bicycle.n.01,rein.v.03,mountain_bike.n.01,3,2,"(3, 2)"
26795,lick,fork,lick.v.02,fork.n.01,mouth.v.03,tablefork.n.01,3,2,"(3, 2)"
30757,ride,car,ride.v.01,car.n.01,foxhunt.v.01,berlin.n.03,3,2,"(3, 2)"
16057,hop_on,motorcycle,hop_on.v.01,motorcycle.n.01,ascend.v.01,bicycle.n.01,3,2,"(3, 2)"
5061,hold,skateboard,hold.v.02,skateboard.n.01,touch.v.05,motor_scooter.n.01,3,2,"(3, 2)"
30350,hug,elephant,embrace.v.02,elephant.n.01,canoodle.v.01,mastodon.n.01,3,2,"(3, 2)"
17782,assemble,kite,assemble.v.01,kite.n.03,bridge.v.02,box_kite.n.01,3,2,"(3, 2)"
33404,stand_on,chair,stand.v.01,chair.n.01,line_up.v.03,lawn_chair.n.01,3,2,"(3, 2)"
24330,train,horse,coach.v.01,horse.n.01,retrain.v.01,quarter_horse.n.01,3,2,"(3, 2)"
12833,wash,car,wash.v.03,car.n.01,shower.v.03,technical.n.01,3,2,"(3, 2)"
9566,exit,bus,exit.v.01,bus.n.01,hop_out.v.01,personnel_carrier.n.01,3,2,"(3, 2)"
34798,hug,person,embrace.v.02,person.n.01,wind.v.03,screenwriter.n.01,3,2,"(3, 2)"
37092,throw,baseball_bat,throw.v.01,baseball_bat.n.01,whang.v.02,bat.n.05,3,3,"(3, 3)"
28510,ride,cow,ride.v.01,cow.n.01,ride_horseback.v.01,dairy_cattle.n.01,3,3,"(3, 3)"
7396,walk,bicycle,walk.v.09,bicycle.n.01,amble.v.01,ordinary.n.04,3,3,"(3, 3)"
9079,ride,bus,ride.v.01,bus.n.01,ride_horseback.v.01,deadhead.n.02,3,3,"(3, 3)"
18580,carry,couch,transport.v.02,sofa.n.01,porter.v.01,studio_couch.n.01,3,3,"(3, 3)"
14801,wear,backpack,wear.v.09,backpack.n.01,habit.v.01,book_bag.n.01,3,3,"(3, 3)"
13895,hold,umbrella,hold.v.02,umbrella.n.01,seize.v.01,parasol.n.01,3,3,"(3, 3)"
3062,sail,boat,sail.v.01,boat.n.01,beat.v.09,fireboat.n.01,3,3,"(3, 3)"
793,swing,baseball_bat,swing.v.01,baseball_bat.n.01,bat.v.01,bat.n.05,3,3,"(3, 3)"
36674,wash,dog,wash.v.03,dog.n.01,wash.v.09,maltese_dog.n.01,3,3,"(3, 3)"
15891,flip,skateboard,flip.v.04,skateboard.n.01,flip.v.05,snowboard.n.01,3,3,"(3, 3)"
28472,lose,umbrella,lose.v.01,umbrella.n.01,misplace.v.01,canopy.n.03,3,3,"(3, 3)"
27089,direct,bus,steer.v.01,bus.n.01,redirect.v.01,minibus.n.01,3,3,"(3, 3)"
34276,repair,skis,repair.v.01,ski.n.01,cobble.v.02,water_ski.n.01,3,3,"(3, 3)"
37020,ride,train,ride.v.01,train.n.01,jockey.v.03,car_train.n.01,3,3,"(3, 3)"
35543,pick_up,skis,pick_up.v.02,ski.n.01,grasp.v.01,water_ski.n.01,3,3,"(3, 3)"
10898,teach,person,teach.v.01,person.n.01,mentor.v.01,assessee.n.01,3,3,"(3, 3)"
32068,feed,horse,feed.v.01,horse.n.01,spoonfeed.v.01,equine.n.01,3,3,"(3, 3)"
7118,cook,pizza,cook.v.01,pizza.n.01,bake.v.01,anchovy_pizza.n.01,3,3,"(3, 3)"
24983,repair,umbrella,repair.v.01,umbrella.n.01,rehabilitate.v.03,parasol.n.01,3,3,"(3, 3)"
14716,ride,skateboard,ride.v.01,skateboard.n.01,jockey.v.03,snowboard.n.01,3,3,"(3, 3)"
20802,repair,bicycle,repair.v.01,bicycle.n.01,darn.v.01,safety_bicycle.n.01,3,3,"(3, 3)"
8358,hold,frisbee,hold.v.02,frisbee.n.01,grip.v.01,disk.n.02,3,3,"(3, 3)"
17494,adjust,tie,adjust.v.01,necktie.n.01,fine-tune.v.02,neckcloth.n.01,3,3,"(3, 3)"
4670,wash,toothbrush,wash.v.03,toothbrush.n.01,wash.v.01,electric_toothbrush.n.01,3,3,"(3, 3)"
7717,wash,knife,wash.v.03,knife.n.01,deterge.v.01,straight_razor.n.01,3,3,"(3, 3)"
32849,hop_on,bicycle,hop_on.v.01,bicycle.n.01,remount.v.01,moped.n.01,3,3,"(3, 3)"
15806,park,motorcycle,park.v.02,motorcycle.n.01,angle-park.v.01,trail_bike.n.01,3,3,"(3, 3)"
25054,open,laptop,open.v.01,laptop.n.01,reopen.v.01,personal_computer.n.01,3,3,"(3, 3)"
2984,set,umbrella,set.v.08,umbrella.n.01,reposition.v.02,canopy.n.03,3,3,"(3, 3)"
14560,lie_on,bed,lie.v.02,bed.n.01,rest.v.01,berth.n.03,3,3,"(3, 3)"
3754,sit_on,truck,sit.v.01,truck.n.01,lounge.v.01,delivery_truck.n.01,3,3,"(3, 3)"
18187,load,truck,load.v.01,truck.n.01,reload.v.02,weapons_carrier.n.01,3,3,"(3, 3)"
